API Well Number,Well Name,Well Name Suffix,Bottom Lease Number,Bottom Area,Bottom Block,Company Name,Spud Date,BH Total MD (feet),True Vertical Depth (feet),TVD Subsea (feet),RKB,KOP,Total Depth Date,Status Date,Type Code,Status Code,Casing Cut Code,Water Depth (feet),Underwater Comp Stub,Surface Lease Number,Surface Latitude,Surface Longitude,Bottom Latitude,Bottom Longitude
608174141000,  009,ST00BP00,G09866,MC,  776,BP Exploration & Production Inc.,,*****,*****,*****,82,*****,,6/7/2019,D,APD,N,5739,N,G09866,28.205145,-88.56408389,*****,*****
608174140900,  003,ST00BP00,G33178,MC,  816,"LLOG Exploration Offshore, L.L.C.",,*****,*****,*****,86,*****,,5/16/2019,E,APD,N,5643,N,G33178,28.17185424,-88.77303889,*****,*****
608174141100,  003,ST00BP00,G27278,MC,  519,Fieldwood Energy LLC,,*****,*****,*****,81,*****,,6/11/2019,E,APD,N,6595,N,G27278,28.46964611,-88.21682722,*****,*****
608174009702, A023,ST02BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",,*****,*****,*****,132,*****,,12/17/2018,D,AST,N,1024,N,G02638,28.79102516,-89.05617659,*****,*****
608174006702, A005,ST02BP00,G02643,MC,  151,"EnVen Energy Ventures, LLC",,*****,*****,*****,132,*****,,11/28/2018,D,AST,N,1024,N,G02638,28.79105593,-89.05614286,*****,*****
608174087704,SS003,ST01BP00,G32301,MC,  199,"LLOG Exploration Offshore, L.L.C.",4/2/2019,*****,*****,*****,82,*****,4/3/2019,3/19/2019,D,AST,N,2528,N,G32301,28.75659229,-88.83477433,*****,*****
608174087706,SS003,ST01BP02,G32301,MC,  199,"LLOG Exploration Offshore, L.L.C.",4/12/2019,*****,*****,*****,82,*****,4/13/2019,4/11/2019,D,AST,N,2528,N,G32301,28.75659229,-88.83477433,*****,*****
608174087705,SS003,ST01BP01,G32301,MC,  199,"LLOG Exploration Offshore, L.L.C.",4/4/2019,*****,*****,*****,82,*****,4/5/2019,4/4/2019,D,AST,N,2528,N,G32301,28.75659229,-88.83477433,*****,*****
608174121703,TB007,ST02BP00,G22898,MC,  725,Hess Corporation,,*****,*****,*****,83,*****,,4/23/2019,D,AST,N,4328,N,G22898,28.24616085,-88.92815038,*****,*****
608174120803,MB002,ST00BP03,G07962,MC,  806,Shell Offshore Inc.,3/17/2019,*****,*****,*****,232,*****,3/19/2019,3/17/2019,E,AST,N,3039,N,G07963,28.15987109,-89.23923067,*****,*****
608174120403,VA002,ST02BP00,G22919,MC,  984,Shell Offshore Inc.,,*****,*****,*****,102,*****,,4/8/2019,E,AST,N,4004,N,G31534,28.00820286,-89.16254778,*****,*****
608174098500,  001,ST00BP00,G18237,MC,  412,BP Exploration & Production Inc.,,24825,24825,24750,75,,,6/25/2002,E,CNL,,1616,N,G18237,28.54545311,-89.16649692,28.54545311,-89.16649692
608174088406,TC001,ST04BP00,G09866,MC,  776,BP Exploration & Production Inc.,,*****,*****,*****,93,*****,,1/18/2007,D,CNL,N,5636,N,G09866,28.21611092,-88.55840751,*****,*****
608174105100,  020,ST00BP00,G09868,MC,  778,BP Exploration & Production Inc.,,*****,*****,*****,93,*****,,8/20/2005,D,CNL,N,6031,N,G09868,28.1904583,-88.49550971,*****,*****
608174105000,  019,ST00BP00,G09868,MC,  778,BP Exploration & Production Inc.,,*****,*****,*****,93,*****,,8/20/2005,D,CNL,N,6031,N,G09868,28.19076609,-88.4957758,*****,*****
608174102200,  001,ST00BP00,G14641,MC,  519,BP Exploration & Production Inc.,,19650,19200,19125,75,,,4/30/2004,E,CNL,N,6500,N,G14641,28.47723351,-88.24960477,28.47723351,-88.24960477
608174087502,SS002,ST02BP00,G19935,MC,  305,ATP Oil & Gas Corporation,,13755,12891,12800,91,,,11/1/2013,E,CNL,N,7001,N,G19935,28.70093469,-87.92982882,28.69533194,-87.9306425
608174111300,SS007,ST00BP00,G14016,MC,  711,ATP Oil & Gas Corporation,,15658,15500,15415,85,,,5/2/2007,D,CNL,N,2975,N,G14016,28.21610444,-89.63450306,28.21852611,-89.632695
608174109300,  001,ST00BP00,G24104,MC,  754,ATP Oil & Gas Corporation,,16438,14889,14803,86,,,5/8/2009,E,CNL,N,2862,N,G24105,28.20622944,-89.62886639,28.20116194,-89.64118806
608174088901,MA001,ST01BP00,G08803,MC,  211,Exxon Mobil Corporation,,12179,11396,11310,86,,,5/6/2011,D,CNL,N,4317,N,G08803,28.78378222,-88.23437563,28.77817611,-88.23071889
608174021401, A003,ST01BP00,G03605,MC,  324,Exxon Mobil Corporation,,15435,12651,12500,151,,,9/10/2004,D,CNL,N,1001,N,G03818,28.6626648,-89.15761638,28.6450719,-89.16101894
608174032201, A054,ST01BP00,G03818,MC,  280,Exxon Mobil Corporation,,10475,9000,8849,151,,,9/24/2004,D,CNL,N,1001,N,G03818,28.66261423,-89.15768705,28.67266161,-89.15299094
608174006000,  002,ST00BP00,G02962,MC,  399,Exxon Mobil Corporation,,,,0,,,,,E,CNL,,1556,N,G02962,28.55101493,-89.83947213,,
608174002800,  002,ST00BP00,G03205,MC,  281,Exxon Mobil Corporation,,,,0,,,,,E,CNL,,990,N,G03205,28.68706458,-89.14366109,,
608174009200,  003,ST00BP00,G02964,MC,  355,Exxon Mobil Corporation,,,,0,,,,,E,CNL,,1508,N,G02964,28.5785584,-89.82401578,,
608174003200,  004,ST00BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",,*****,*****,*****,,*****,,,E,CNL,,845,N,G02642,28.81089262,-89.06363308,*****,*****
608174002501,  003,ST01BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",,*****,*****,*****,,*****,,,E,CNL,,887,N,G02642,28.8053383,-89.07466424,*****,*****
608174007605, A014,ST03BP02,G02638,MC,  194,"EnVen Energy Ventures, LLC",,*****,*****,*****,97,*****,,3/27/2010,D,CNL,,1024,N,G02638,28.79081548,-89.05640038,*****,*****
