,lease,protraction_id,block_num,sale,bid_amount,company_num,precentage_bid,company,block_code
0,36647,NG15-03,420,252,0.589909,59,100.0,Hess Corporation,NG15-03 - 420
1,36673,NG16-01,68,252,0.605524,2481,100.0,BP Exploration & Production Inc.,NG16-01 - 68
2,36631,NG15-03,92,252,0.3,1284,100.0,W & T Offshore,NG15-03 - 92
3,36687,NG16-02,414,252,0.771988,689,100.0,Shell Offshore Inc.,NG16-02 - 414
4,36689,NG15-05,779,252,0.75,2058,100.0,LLOG Exploration Offshore,NG15-05 - 779
5,36694,NG15-05,964,252,4.0675050000000015,2219,100.0,Anadarko US Offshore LLC,NG15-05 - 964
6,36694,NG15-05,964,252,7.0002130000000005,3362,50.0,Kosmos Energy Gulf of Mexico Operations,NG15-05 - 964
7,36694,NG15-05,964,252,7.0002130000000005,2748,50.0,Equinor Gulf of Mexico LLC,NG15-05 - 964
8,36482,NG15-01,996,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-01 - 996
9,36653,NG15-03,814,252,0.6,2058,100.0,LLOG Exploration Offshore,NG15-03 - 814
10,36595,NH16-11,888,252,0.731988,689,100.0,Shell Offshore Inc.,NH16-11 - 888
11,36595,NH16-11,888,252,0.600524,2481,100.0,BP Exploration & Production Inc.,NH16-11 - 888
12,36682,NG16-02,136,252,0.731988,689,100.0,Shell Offshore Inc.,NG16-02 - 136
13,36695,NG15-06,113,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NG15-06 - 113
14,36580,NH16-11,714,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 714
15,36588,NH16-11,798,252,0.731988,689,100.0,Shell Offshore Inc.,NH16-11 - 798
16,36611,NG15-02,545,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-02 - 545
17,36594,NH16-11,887,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 887
18,36640,NG15-03,279,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-03 - 279
19,36526,NH16-07,858,252,0.30750500000000003,2219,100.0,Anadarko US Offshore LLC,NH16-07 - 858
20,36578,NH16-11,669,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 669
21,36615,NG15-02,640,252,0.751988,689,100.0,Shell Offshore Inc.,NG15-02 - 640
22,36491,NG15-04,300,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-04 - 300
23,36603,NG15-02,305,252,0.589909,59,100.0,Hess Corporation,NG15-02 - 305
24,36630,NG15-03,91,252,0.3,1284,100.0,W & T Offshore,NG15-03 - 91
25,36546,NH16-10,469,252,0.800524,2481,100.0,BP Exploration & Production Inc.,NH16-10 - 469
26,36639,NG15-03,278,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-03 - 278
27,36612,NG15-02,555,252,0.771988,689,100.0,Shell Offshore Inc.,NG15-02 - 555
28,36616,NG15-02,641,252,0.731988,689,100.0,Shell Offshore Inc.,NG15-02 - 641
29,36690,NG15-05,780,252,0.62,2058,100.0,LLOG Exploration Offshore,NG15-05 - 780
30,36480,NG15-01,954,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-01 - 954
31,36669,NG16-01,15,252,0.651988,689,100.0,Shell Offshore Inc.,NG16-01 - 15
32,36671,NG16-01,48,252,1.100524,2481,100.0,BP Exploration & Production Inc.,NG16-01 - 48
33,36664,NG15-03,996,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NG15-03 - 996
